duration,game_mode,match_id,human_players,radiant_score,version,start_time,dire_score,radiant_win,skill,leagueid,patch,objectives,first_blood_time,region,kills_per_min,total_xp,player_slot,xp_per_min,gold_per_min,item_0,net_worth,hero_damage,total_gold,kda,account_id,item_5,kill_streaks,rank_tier,deaths,hero_id,kills,tower_damage,last_hits,item_3,randomed,level,item_4,item_1,isRadiant,hero_healing,item_2
53.28,game_mode_all_draft,5992892483,10,46,,2021-05-13 23:11:06,58,False,,0,48,,3.15,South America,0.1876759461995621,38736,132,727,558,208,27233,33196,29732,5,,152,,,5,4,10,4703,331,50,,29,96,135,False,0,116
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.33271719038817005,16202,0,599,480,48,11987,20778,12984,4,479386031,77,,4,4,39,9,2118,114,0,,18,41,98,True,0,116
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.36968576709796674,21748,1,804,633,63,17201,19179,17122,11,,569,,,1,44,10,7093,220,168,,22,26,116,True,0,225
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.29574861367837335,11442,2,423,361,0,8426,12490,9765,3,345424693,0,,4,6,64,8,381,20,0,,15,0,231,True,2752,218
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.29574861367837335,18421,3,681,387,214,9474,17413,10468,7,,0,,,2,14,8,1613,59,1,,20,73,267,True,240,216
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.2587800369685767,20666,4,764,682,127,18623,19401,18448,3,,116,,,4,53,7,7179,269,63,,21,240,36,True,0,250
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.18484288354898337,15364,128,568,393,176,9900,14470,10630,0,,75,,,9,10,5,0,124,36,,18,26,44,False,0,63
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.29574861367837335,9575,129,354,324,218,7066,14837,8764,1,112011498,181,,6,11,85,8,0,67,180,,13,254,36,False,916,127
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.03696857670979667,9494,130,351,210,267,5153,12005,5680,0,1049392341,214,,4,5,123,1,0,28,36,,13,240,218,False,0,38
27.05,game_mode_all_draft,5992892482,10,42,,2021-05-13 23:11:05,17,True,2,0,48,,0.07,,0.03696857670979667,9765,131,361,281,29,6951,9455,7601,0,431783921,135,,,11,21,1,0,86,77,,13,0,0,False,0,36
